	input	translation
265785	Q7RTX1	R-HSA-9717207
265786	Q7RTX7	R-HSA-1300642
265787	Q7RTY9	R-HSA-163125
265788	Q7RTZ2	R-HSA-5689880
267161	Q7Z2D5	R-HSA-419408
267162	Q7Z2F6	R-HSA-212436
267163	Q7Z2H8	R-HSA-352230
267164	Q7Z2H8	R-HSA-428559
267165	Q7Z2K8	R-HSA-9022699
267166	Q7Z2W4	R-HSA-6802952
267167	Q7Z2W7	R-HSA-3295583
267168	Q7Z2W9	R-HSA-5368286
267169	Q7Z2W9	R-HSA-5389840
267170	Q7Z2W9	R-HSA-5389840
267171	Q7Z2W9	R-HSA-5419276
267172	Q7Z340	R-HSA-212436
267173	Q7Z392	R-HSA-8876198
267174	Q7Z398	R-HSA-212436
267175	Q7Z3B1	R-HSA-163125
267176	Q7Z3B3	R-HSA-3214847
267177	Q7Z3B4	R-HSA-1169408
267178	Q7Z3B4	R-HSA-159227
267179	Q7Z3B4	R-HSA-159230
267180	Q7Z3B4	R-HSA-159231
267181	Q7Z3B4	R-HSA-159236
267182	Q7Z3B4	R-HSA-165054
267183	Q7Z3B4	R-HSA-168271
267184	Q7Z3B4	R-HSA-168276
267185	Q7Z3B4	R-HSA-168325
267186	Q7Z3B4	R-HSA-168333
267187	Q7Z3B4	R-HSA-170822
267188	Q7Z3B4	R-HSA-180746
267189	Q7Z3B4	R-HSA-180910
267190	Q7Z3B4	R-HSA-191859
267191	Q7Z3B4	R-HSA-3108214
267192	Q7Z3B4	R-HSA-3232142
267193	Q7Z3B4	R-HSA-3301854
267194	Q7Z3B4	R-HSA-3371453
267195	Q7Z3B4	R-HSA-4085377
267196	Q7Z3B4	R-HSA-4551638
